VFID	VF category	multi_cat	vf_category0	vf_category1	vf_category2	vf_category3	vf_category0_subcat0	vf_category0_subcat1	vf_category0_subcat2	vf_category0_subcat3	vf_category0_subcat4	vf_category1_subcat0	vf_category1_subcat1	vf_category1_subcat2	vf_category1_subcat3	vf_category2_subcat0	vf_category2_subcat1	vf_category2_subcat2	vf_category3_subcat0	vf_category3_subcat1
VF0050	Stress survival	false	Stress survival				Stress survival													
VF0051	Motility; Flagella-mediated motility; Flagella assembly	false	Motility; Flagella-mediated motility; Flagella assembly				Motility	 Flagella-mediated motility	 Flagella assembly											
VF0052	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0053	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0054	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0055	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0056	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0057	Immune modulation; Molecular mimicry	false	Immune modulation; Molecular mimicry				Immune modulation	 Molecular mimicry												
VF0058	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)											
VF0059	Effector delivery system; Type IV secretion system (T4SS); T4SS effectors	false	Effector delivery system; Type IV secretion system (T4SS); T4SS effectors				Effector delivery system	 Type IV secretion system (T4SS)	 T4SS effectors											
VF0060	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components	false	Effector delivery system; Type IV secretion system (T4SS); Type IVA (T4ASS) components				Effector delivery system	 Type IV secretion system (T4SS)	 Type IVA (T4ASS) components											
VF0061	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0062	Regulation	false	Regulation				Regulation													
VF0063	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0064	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Cholesterol-Dependent Cytolysin (CDC) family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Cholesterol-Dependent Cytolysin (CDC) family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT	 Cholesterol-Dependent Cytolysin (CDC) family									
VF0065	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0066	Motility; Intracellular motility	false	Motility; Intracellular motility				Motility	 Intracellular motility												
VF0067	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0068	Invasion	false	Invasion				Invasion													
VF0069	Invasion	false	Invasion				Invasion													
VF0070	Invasion	false	Invasion				Invasion													
VF0071	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0072	Stress survival	false	Stress survival				Stress survival													
VF0073	Stress survival	false	Stress survival				Stress survival													
VF0074	Stress survival	false	Stress survival				Stress survival													
VF0075	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF0076	Invasion	false	Invasion				Invasion													
VF0077	Invasion	false	Invasion				Invasion													
VF0078	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0079	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0080	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE-like	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE-like				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE-like										
VF0081	Invasion	false	Invasion				Invasion													
VF0082	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
VF0083	Effector delivery system; Type III secretion system (T3SS)	false	Effector delivery system; Type III secretion system (T3SS)				Effector delivery system	 Type III secretion system (T3SS)												
VF0084	Effector delivery system; Type II secretion system (T2SS)	false	Effector delivery system; Type II secretion system (T2SS)				Effector delivery system	 Type II secretion system (T2SS)												
VF0085	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0086	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT) | Effector delivery system; Type II secretion system (T2SS); T2SS effectors	true	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT) 	 Effector delivery system; Type II secretion system (T2SS); T2SS effectors			Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT) 			 Effector delivery system	 Type II secretion system (T2SS)	 T2SS effectors						
VF0087	Effector delivery system; Type II secretion system (T2SS); T2SS effectors | Exoenzyme; Protease	true	Effector delivery system; Type II secretion system (T2SS); T2SS effectors 	 Exoenzyme; Protease			Effector delivery system	 Type II secretion system (T2SS)	 T2SS effectors 			 Exoenzyme	 Protease							
VF0088	Effector delivery system; Type II secretion system (T2SS); T2SS effectors | Exoenzyme; Protease	true	Effector delivery system; Type II secretion system (T2SS); T2SS effectors 	 Exoenzyme; Protease			Effector delivery system	 Type II secretion system (T2SS)	 T2SS effectors 			 Exoenzyme	 Protease							
VF0089	Immune modulation | Biofilm; Biofilm formation	true	Immune modulation 	 Biofilm; Biofilm formation			Immune modulation 					 Biofilm	 Biofilm formation							
VF0090	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0091	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0092	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0093	Biofilm; Quorum sensing	false	Biofilm; Quorum sensing				Biofilm	 Quorum sensing												
VF0094	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0095	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0100	Nutritional/Metabolic factor; Metabolic adaptation; Metabolite | Immune modulation | Antimicrobial activity/Competitive advantage	true	Nutritional/Metabolic factor; Metabolic adaptation; Metabolite 	 Immune modulation 	 Antimicrobial activity/Competitive advantage		Nutritional/Metabolic factor	 Metabolic adaptation	 Metabolite 			 Immune modulation 				 Antimicrobial activity/Competitive advantage				
VF0101	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0102	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0103	Adherence; Fimbrial adhesin; Bacterial amyloid fibers; Curli | Biofilm; Biofilm formation	true	Adherence; Fimbrial adhesin; Bacterial amyloid fibers; Curli 	 Biofilm; Biofilm formation			Adherence	 Fimbrial adhesin	 Bacterial amyloid fibers	 Curli 		 Biofilm	 Biofilm formation							
VF0104	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0105	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0106	Nutritional/Metabolic factor; Metal uptake; Magnesium uptake	false	Nutritional/Metabolic factor; Metal uptake; Magnesium uptake				Nutritional/Metabolic factor	 Metal uptake	 Magnesium uptake											
VF0107	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	false	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)				Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)											
VF0108	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0109	Stress survival	false	Stress survival				Stress survival													
VF0111	Regulation	false	Regulation				Regulation													
VF0112	Regulation	false	Regulation				Regulation													
VF0113	Regulation	false	Regulation				Regulation													
VF0114	Motility; Flagella-mediated motility; Flagella assembly	false	Motility; Flagella-mediated motility; Flagella assembly				Motility	 Flagella-mediated motility	 Flagella assembly											
VF0115	Exotoxin; Intracellularly active toxin; DNase/Genotoxin	false	Exotoxin; Intracellularly active toxin; DNase/Genotoxin				Exotoxin	 Intracellularly active toxin	 DNase/Genotoxin											
VF0116	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0117	Exotoxin; Intracellularly active toxin; RNA N-glycosidase	false	Exotoxin; Intracellularly active toxin; RNA N-glycosidase				Exotoxin	 Intracellularly active toxin	 RNA N-glycosidase											
VF0118	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0119	Exoenzyme; Protease | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	true	Exoenzyme; Protease 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE			Exoenzyme	 Protease 				 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE					
VF0120	Exoenzyme; Protease | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	true	Exoenzyme; Protease 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE			Exoenzyme	 Protease 				 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE					
VF0121	Motility; Intracellular motility | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va) | Adherence; Non-fimbrial adhesin; Autotransporter adhesin | Biofilm; Biofilm formation	true	Motility; Intracellular motility 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va) 	 Adherence; Non-fimbrial adhesin; Autotransporter adhesin 	 Biofilm; Biofilm formation	Motility	 Intracellular motility 				 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va) 		 Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin 	 Biofilm	 Biofilm formation
VF0122	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0123	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0124	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0125	Exotoxin	false	Exotoxin				Exotoxin													
VF0126	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVb pili (T4bP)										
VF0127	Others	false	Others				Others													
VF0128	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT) | Effector delivery system; Type II secretion system (T2SS); T2SS effectors	true	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT) 	 Effector delivery system; Type II secretion system (T2SS); T2SS effectors			Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT) 			 Effector delivery system	 Type II secretion system (T2SS)	 T2SS effectors						
VF0129	Exotoxin; Intracellularly active toxin	false	Exotoxin; Intracellularly active toxin				Exotoxin	 Intracellularly active toxin												
VF0130	Exotoxin; Membrane-acting toxin	false	Exotoxin; Membrane-acting toxin				Exotoxin	 Membrane-acting toxin												
VF0131	Invasion | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)	true	Invasion 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)			Invasion 					 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Inverse autotransporter (type Ve)						
VF0132	Invasion	false	Invasion				Invasion													
VF0133	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc) | Adherence; Non-fimbrial adhesin; Autotransporter adhesin	true	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Trimeric autotransporter (type Vc) 	 Adherence; Non-fimbrial adhesin; Autotransporter adhesin			Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Trimeric autotransporter (type Vc) 			 Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin						
VF0134	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0135	Exotoxin; Membrane-acting toxin; Activator of membrane-bound guanylyl cyclase	false	Exotoxin; Membrane-acting toxin; Activator of membrane-bound guanylyl cyclase				Exotoxin	 Membrane-acting toxin	 Activator of membrane-bound guanylyl cyclase											
VF0136	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0137	Exotoxin; Membrane-acting toxin; Phospholipase	false	Exotoxin; Membrane-acting toxin; Phospholipase				Exotoxin	 Membrane-acting toxin	 Phospholipase											
VF0138	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0139	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0140	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0141	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0142	Exotoxin; Intracellularly active toxin; Adenylate cyclase | Exotoxin; Intracellularly active toxin; Metalloprotease	true	Exotoxin; Intracellularly active toxin; Adenylate cyclase 	 Exotoxin; Intracellularly active toxin; Metalloprotease			Exotoxin	 Intracellularly active toxin	 Adenylate cyclase 			 Exotoxin	 Intracellularly active toxin	 Metalloprotease						
VF0143	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0144	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0145	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0146	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0147	Immune modulation; Immunoglobulin protease	false	Immune modulation; Immunoglobulin protease				Immune modulation	 Immunoglobulin protease												
VF0148	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0149	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Cholesterol-Dependent Cytolysin (CDC) family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; Cholesterol-Dependent Cytolysin (CDC) family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT	 Cholesterol-Dependent Cytolysin (CDC) family									
VF0150	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0151	Nutritional/Metabolic factor; Metal uptake; Manganese uptake	false	Nutritional/Metabolic factor; Metal uptake; Manganese uptake				Nutritional/Metabolic factor	 Metal uptake	 Manganese uptake											
VF0152	Immune modulation; Complement evasion/Serum resistance	false	Immune modulation; Complement evasion/Serum resistance				Immune modulation	 Complement evasion/Serum resistance												
VF0153	Post-translational modification	false	Post-translational modification				Post-translational modification													
VF0154	Effector delivery system; Type II secretion system (T2SS); T2SS components	false	Effector delivery system; Type II secretion system (T2SS); T2SS components				Effector delivery system	 Type II secretion system (T2SS)	 T2SS components											
VF0155	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVa pili (T4aP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVa pili (T4aP)										
